book,chapter,verse,text,type,marker
GEN,,,- Berean Standard Bible,book,id
GEN,,,Genesis,para,h
GEN,,,Genesis,para,toc2
GEN,,,Genesis,para,toc1
GEN,,,Genesis,para,mt1
GEN,1,,,chapter,c
GEN,1,,The Creation,para,s1
GEN,1,,(John 1:1–5; Hebrews 11:1–3),para,r
GEN,1,1,,verse,v
GEN,1,1,In the beginning God created the heavens and the earth.,para,m
GEN,1,1,,para,b
GEN,1,2,,verse,v
GEN,1,2,"Now the earth was formless and void, and darkness was over the surface of the deep. And the Spirit of God was hovering over the surface of the waters.",para,m
GEN,1,2,The First Day,para,s2
GEN,1,2,,para,b
GEN,1,3,,verse,v
GEN,1,3,"And God said, “Let there be light,”",para,pmo
GEN,1,3,,note,f
GEN,1,3,1:3,char,fr
GEN,1,3,Cited in 2 Corinthians 4:6,char,ft
GEN,1,3, and there was light.,para,pmo
GEN,1,4,,verse,v
GEN,1,4,"And God saw that the light was good, and He separated the light from the darkness.",para,pmo
GEN,1,5,,verse,v
GEN,1,5,"God called the light “day,” and the darkness He called “night.”",para,pmo
GEN,1,5,,para,b
GEN,1,5,"And there was evening, and there was morning—the first day.",para,pmo
GEN,1,5,,note,f
GEN,1,5,1:5,char,fr
GEN,1,5,Literally day one,char,ft
GEN,1,5,,para,pmo
GEN,1,5,The Second Day,para,s2
GEN,1,5,,para,b
GEN,1,6,,verse,v
GEN,1,6,"And God said, “Let there be an expanse",para,pmo
GEN,1,6,,note,f
GEN,1,6,1:6,char,fr
GEN,1,6,"Or a canopy or a firmament or a vault; also in verses 7, 8, 14, 15, 17, and 20",char,ft
GEN,1,6," between the waters, to separate the waters from the waters.”",para,pmo
GEN,1,7,,verse,v
GEN,1,7,So God made the expanse and separated the waters beneath it from the waters above. And it was so.,para,pmo
GEN,1,8,,verse,v
GEN,1,8,God called the expanse “sky.”,para,pmo
GEN,1,8,,para,b
GEN,1,8,"And there was evening, and there was morning—the second day.",para,pmo
GEN,1,8,The Third Day,para,s2
GEN,1,8,,para,b
GEN,1,9,,verse,v
GEN,1,9,"And God said, “Let the waters under the sky be gathered into one place, so that the dry land may appear.” And it was so.",para,pmo
GEN,1,10,,verse,v
